|subject_category|subject_prefix|edge_type|relation|object_category|object_prefix|negated|frequency
52|protein|UniProtKB|positively_regulates|stimulator|chemical_substance|CHEMBL.COMPOUND||7
53|protein|UniProtKB|physically_interacts_with|cofactor|chemical_substance|CHEMBL.COMPOUND||4
54|protein|UniProtKB|negatively_regulates|inverse agonist|chemical_substance|CHEMBL.COMPOUND||3
55|protein|UniProtKB|positively_regulates|inducer|chemical_substance|CHEMBL.COMPOUND||2
56|protein|UniProtKB|participates_in|participates_in|pathway|REACT||779447
57|protein|UniProtKB|gene_associated_with_condition|gene_associated_with_condition|disease|DOID||33361
58|protein|UniProtKB|gene_mutations_contribute_to|gene_mutations_contribute_to|disease|OMIM||5765
59|protein|UniProtKB|gene_associated_with_condition|associated_with_disease|disease|DOID||3803
60|protein|UniProtKB|gene_associated_with_condition|associated_with_disease|disease|OMIM||2132
61|protein|UniProtKB|gene_associated_with_condition|associated_with_disease|disease|MONDO||188
62|protein|UniProtKB|expressed_in|expressed_in|anatomical_entity|UBERON||323101
63|protein|UniProtKB|expressed_in|expressed_in|anatomical_entity|CL||15576
64|metabolite|KEGG|physically_interacts_with|physically_interacts_with|protein|UniProtKB||44608
65|cellular_component|GO|expressed_in|expressed_in|protein|UniProtKB||74377
66|cellular_component|GO|subclass_of|subclass_of|cellular_component|GO||12052
67|cellular_component|GO|affects|disease_has_basis_in_dysfunction_of|disease|DOID||8
68|cellular_component|GO|affects|disease_has_location|disease|DOID||2
69|cellular_component|GO|affects|realized_in_response_to_stimulus|disease|DOID||1
70|cellular_component|GO|affects|disease_caused_by_disruption_of|disease|DOID||1
71|cellular_component|GO|has_part|lacks_part|anatomical_entity|CL||5
72|cellular_component|GO|has_part|has_part|anatomical_entity|UBERON||4
73|cellular_component|GO|has_part|has_part|anatomical_entity|CL||4
74|cellular_component|GO|has_part|composed_primarily_of|anatomical_entity|UBERON||3
75|cellular_component|GO|has_part|has_plasma_membrane_part|anatomical_entity|CL||1
76|microRNA|NCBIGene|has_phenotype|has_phenotype|phenotypic_feature|HP||60
77|microRNA|NCBIGene|involved_in|involved_in|biological_process|GO||1417
78|microRNA|NCBIGene|regulates|regulates_expression_of|protein|UniProtKB||332256
79|microRNA|NCBIGene|regulates|regulates_expression_of|microRNA|NCBIGene||7624
80|microRNA|NCBIGene|gene_associated_with_condition|associated_with_disease|disease|DOID||110
81|microRNA|NCBIGene|gene_associated_with_condition|associated_with_disease|disease|OMIM||25
82|microRNA|NCBIGene|gene_mutations_contribute_to|gene_mutations_contribute_to|disease|OMIM||4
83|microRNA|NCBIGene|expressed_in|expressed_in|anatomical_entity|UBERON||1414
84|microRNA|NCBIGene|expressed_in|expressed_in|anatomical_entity|CL||20
85|chemical_substance|CHEMBL.COMPOUND|contraindicated_for|contraindicated_for|phenotypic_feature|HP||12221
86|chemical_substance|CHEMBL.COMPOUND|indicated_for|indicated_for|phenotypic_feature|HP||2095
87|chemical_substance|CHEMBL.COMPOUND|physically_interacts_with|targets|protein|UniProtKB||79356
88|chemical_substance|CHEMBL.COMPOUND|affects|affects|protein|UniProtKB||8855
89|chemical_substance|CHEMBL.COMPOUND|negatively_regulates|inhibitor|protein|UniProtKB||2315
90|chemical_substance|CHEMBL.COMPOUND|positively_regulates|agonist|protein|UniProtKB||1034
91|chemical_substance|CHEMBL.COMPOUND|negatively_regulates|antagonist|protein|UniProtKB||997
92|chemical_substance|CHEMBL.COMPOUND|positively_regulates|positive allosteric modulator|protein|UniProtKB||405
93|chemical_substance|CHEMBL.COMPOUND|negatively_regulates|blocker|protein|UniProtKB||347
94|chemical_substance|CHEMBL.COMPOUND|positively_regulates|activator|protein|UniProtKB||102
95|chemical_substance|CHEMBL.COMPOUND|negatively_regulates|channel blocker|protein|UniProtKB||98
96|chemical_substance|CHEMBL.COMPOUND|affects|antibody|protein|UniProtKB||97
97|chemical_substance|CHEMBL.COMPOUND|negatively_regulates|allosteric modulator|protein|UniProtKB||81
98|chemical_substance|CHEMBL.COMPOUND|affects|binder|protein|UniProtKB||79
99|chemical_substance|CHEMBL.COMPOUND|negatively_regulates|modulator|protein|UniProtKB||69
100|chemical_substance|CHEMBL.COMPOUND|negatively_regulates|gating inhibitor|protein|UniProtKB||9
101|chemical_substance|CHEMBL.COMPOUND|positively_regulates|partial agonist|protein|UniProtKB||8
102|chemical_substance|CHEMBL.COMPOUND|positively_regulates|stimulator|protein|UniProtKB||7
103|chemical_substance|CHEMBL.COMPOUND|physically_interacts_with|cofactor|protein|UniProtKB||4
104|chemical_substance|CHEMBL.COMPOUND|negatively_regulates|inverse agonist|protein|UniProtKB||3
105|chemical_substance|CHEMBL.COMPOUND|positively_regulates|inducer|protein|UniProtKB||2
106|chemical_substance|CHEMBL.COMPOUND|contraindicated_for|contraindicated_for|disease|DOID||9264
107|chemical_substance|CHEMBL.COMPOUND|indicated_for|indicated_for|disease|DOID||2375
108|pathway|REACT|participates_in|participates_in|protein|UniProtKB||779447
109|disease|DOID|has_phenotype|has_phenotype|phenotypic_feature|HP||649895
110|disease|OMIM|has_phenotype|has_phenotype|phenotypic_feature|HP||94807
111|disease|DOID|has_phenotype|has_phenotype|phenotypic_feature|AQTLTrait||1
112|disease|DOID|affects|disease_caused_by_disruption_of|biological_process|GO||52
113|disease|DOID|affects|disease_causes_disruption_of|biological_process|GO||27
114|disease|DOID|affects|realized_in_response_to|biological_process|GO||6
115|disease|OMIM|affects|disease_caused_by_disruption_of|biological_process|GO||4
116|disease|DOID|affects|disease_has_location|biological_process|GO||1
117|disease|DOID|gene_associated_with_condition|gene_associated_with_condition|protein|UniProtKB||33361
118|disease|OMIM|gene_mutations_contribute_to|gene_mutations_contribute_to|protein|UniProtKB||5765
119|disease|DOID|gene_associated_with_condition|associated_with_disease|protein|UniProtKB||3803
120|disease|OMIM|gene_associated_with_condition|associated_with_disease|protein|UniProtKB||2132
121|disease|MONDO|gene_associated_with_condition|associated_with_disease|protein|UniProtKB||188
122|disease|DOID|affects|disease_has_basis_in_dysfunction_of|cellular_component|GO||8
123|disease|DOID|affects|disease_has_location|cellular_component|GO||2
124|disease|DOID|affects|realized_in_response_to_stimulus|cellular_component|GO||1
125|disease|DOID|affects|disease_caused_by_disruption_of|cellular_component|GO||1
126|disease|DOID|gene_associated_with_condition|associated_with_disease|microRNA|NCBIGene||110
127|disease|OMIM|gene_associated_with_condition|associated_with_disease|microRNA|NCBIGene||25
128|disease|OMIM|gene_mutations_contribute_to|gene_mutations_contribute_to|microRNA|NCBIGene||4
129|disease|DOID|contraindicated_for|contraindicated_for|chemical_substance|CHEMBL.COMPOUND||9264
130|disease|DOID|indicated_for|indicated_for|chemical_substance|CHEMBL.COMPOUND||2375
131|disease|DOID|subclass_of|subclass_of|disease|DOID||17598
132|anatomical_entity|UBERON|affects|affects|phenotypic_feature|HP||2853
133|anatomical_entity|CL|affects|affects|phenotypic_feature|HP||110
134|anatomical_entity|CL|capable_of|capable_of|biological_process|GO||30
135|anatomical_entity|UBERON|capable_of|capable_of|biological_process|GO||30
136|anatomical_entity|UBERON|capable_of|capable_of_part_of|biological_process|GO||16
137|anatomical_entity|UBERON|capable_of|contains_process|biological_process|GO||4
138|anatomical_entity|UBERON|capable_of|site_of|biological_process|GO||3
139|anatomical_entity|UBERON|capable_of|output_of|biological_process|GO||1
140|anatomical_entity|UBERON|capable_of|functionally_related_to|biological_process|GO||1
141|anatomical_entity|CL|capable_of|has_completed|biological_process|GO||1
142|anatomical_entity|UBERON|expressed_in|expressed_in|protein|UniProtKB||323101
143|anatomical_entity|CL|expressed_in|expressed_in|protein|UniProtKB||15576
144|anatomical_entity|CL|has_part|lacks_part|cellular_component|GO||5
145|anatomical_entity|CL|has_part|has_part|cellular_component|GO||4
146|anatomical_entity|UBERON|has_part|has_part|cellular_component|GO||4
147|anatomical_entity|UBERON|has_part|composed_primarily_of|cellular_component|GO||3
148|anatomical_entity|CL|has_part|has_plasma_membrane_part|cellular_component|GO||1
149|anatomical_entity|UBERON|expressed_in|expressed_in|microRNA|NCBIGene||1414
150|anatomical_entity|CL|expressed_in|expressed_in|microRNA|NCBIGene||20
