|subject_category|subject_prefix|edge_type|object_category|object_prefix|provided_by|frequency
43|anatomical_entity|UBERON|expressed_in|microRNA|NCBIGene|BioLink|1414
44|anatomical_entity|CL|expressed_in|microRNA|NCBIGene|BioLink|20
45|anatomical_entity|CL|has_part|cellular_component|GO|Monarch_SciGraph|10
46|anatomical_entity|UBERON|has_part|cellular_component|GO|Monarch_SciGraph|7
47|pathway|REACT|participates_in|protein|UniProtKB|reactome|790974
48|microRNA|NCBIGene|has_phenotype|phenotypic_feature|HP|BioLink|60
49|microRNA|NCBIGene|involved_in|biological_process|GO|gene_ontology|1417
50|microRNA|NCBIGene|regulates|protein|UniProtKB|miRGate|332098
51|microRNA|NCBIGene|expressed_in|anatomical_entity|UBERON|BioLink|1414
52|microRNA|NCBIGene|expressed_in|anatomical_entity|CL|BioLink|20
53|microRNA|NCBIGene|regulates|microRNA|NCBIGene|miRGate|7624
54|microRNA|NCBIGene|gene_associated_with_condition|disease|DOID|BioLink|110
55|microRNA|NCBIGene|gene_associated_with_condition|disease|OMIM|BioLink|25
56|microRNA|NCBIGene|gene_mutations_contribute_to|disease|OMIM|OMIM|4
57|molecular_function|GO|capable_of|protein|UniProtKB|gene_ontology|62681
58|molecular_function|GO|subclass_of|molecular_function|GO|gene_ontology|27382
59|cellular_component|GO|expressed_in|protein|UniProtKB|gene_ontology|74377
60|cellular_component|GO|has_part|anatomical_entity|CL|Monarch_SciGraph|10
61|cellular_component|GO|has_part|anatomical_entity|UBERON|Monarch_SciGraph|7
62|cellular_component|GO|subclass_of|cellular_component|GO|gene_ontology|12052
63|cellular_component|GO|affects|disease|DOID|Monarch_SciGraph|12
64|disease|DOID|has_phenotype|phenotypic_feature|HP|BioLink|649895
65|disease|DOID|has_phenotype|phenotypic_feature|AQTLTrait|BioLink|1
66|disease|DOID|affects|biological_process|GO|Monarch_SciGraph|86
67|disease|OMIM|affects|biological_process|GO|Monarch_SciGraph|4
68|disease|DOID|gene_associated_with_condition|protein|UniProtKB|DisGeNet|33189
69|disease|OMIM|gene_mutations_contribute_to|protein|UniProtKB|OMIM|5765
70|disease|DOID|gene_associated_with_condition|protein|UniProtKB|BioLink|3423
71|disease|OMIM|gene_associated_with_condition|protein|UniProtKB|BioLink|2132
72|disease|MONDO|gene_associated_with_condition|protein|UniProtKB|BioLink|188
73|disease|DOID|gene_associated_with_condition|microRNA|NCBIGene|BioLink|110
74|disease|OMIM|gene_associated_with_condition|microRNA|NCBIGene|BioLink|25
75|disease|OMIM|gene_mutations_contribute_to|microRNA|NCBIGene|OMIM|4
76|disease|DOID|affects|cellular_component|GO|Monarch_SciGraph|12
77|disease|DOID|subclass_of|disease|DOID|DiseaseOntology|17598
